Day,Verb,"Expression (EN)","Expression (KR)",Status
"Day 69",write,"write the invitation",,"한글 번역 없음"
"Day 69",write,"write the notice",,"한글 번역 없음"
"Day 69",write,"write the paragraph",,"한글 번역 없음"
"Day 69",write,"write the postcard",,"한글 번역 없음"
"Day 69",write,"write the schedule",,"한글 번역 없음"
"Day 69",write,"write the sentence",,"한글 번역 없음"
"Day 69",lay,"I lay the basis",,"한글 번역 없음"
"Day 69",lay,"lay the basis",,"한글 번역 없음"
"Day 69",lay,"lay the cable",,"한글 번역 없음"
"Day 69",lay,"lay the carpet",,"한글 번역 없음"
"Day 69",lay,"lay the floor",,"한글 번역 없음"
"Day 69",lay,"lay the foundation",,"한글 번역 없음"
"Day 69",lay,"lay the groundwork",,"한글 번역 없음"
"Day 69",lay,"lay the pipe",,"한글 번역 없음"
"Day 69",expand,"I expand the story",,"한글 번역 없음"
"Day 69",expand,"expand the business",,"한글 번역 없음"
"Day 69",expand,"expand the market",,"한글 번역 없음"
"Day 69",expand,"expand the program",,"한글 번역 없음"
"Day 69",expand,"expand the project",,"한글 번역 없음"
"Day 69",expand,"expand the service",,"한글 번역 없음"
"Day 69",expand,"expand the story",,"한글 번역 없음"
"Day 69",expand,"expand the vocabulary",,"한글 번역 없음"
"Day 70",speak,"I speak in English",,"한글 번역 없음"
"Day 70",speak,"speak in Chinese",,"한글 번역 없음"
"Day 70",speak,"speak in English",,"한글 번역 없음"
"Day 70",speak,"speak in French",,"한글 번역 없음"
"Day 70",speak,"speak in German",,"한글 번역 없음"
"Day 70",speak,"speak in Japanese",,"한글 번역 없음"
"Day 70",speak,"speak in Korean",,"한글 번역 없음"
"Day 70",speak,"speak in Spanish",,"한글 번역 없음"
"Day 70",translate,"I translate the text",,"한글 번역 없음"
"Day 70",translate,"translate the book",,"한글 번역 없음"
"Day 70",translate,"translate the document",,"한글 번역 없음"
"Day 70",translate,"translate the letter",,"한글 번역 없음"
"Day 70",translate,"translate the sentence",,"한글 번역 없음"
"Day 70",translate,"translate the story",,"한글 번역 없음"
"Day 70",translate,"translate the text",,"한글 번역 없음"
"Day 70",translate,"translate the word",,"한글 번역 없음"
"Day 70",explain,"I explain the meaning",,"한글 번역 없음"
"Day 70",explain,"explain the answer",,"한글 번역 없음"
"Day 70",explain,"explain the concept",,"한글 번역 없음"
"Day 70",explain,"explain the meaning",,"한글 번역 없음"
"Day 70",explain,"explain the plan",,"한글 번역 없음"
"Day 70",explain,"explain the problem",,"한글 번역 없음"
"Day 70",explain,"explain the purpose",,"한글 번역 없음"
"Day 70",explain,"explain the result",,"한글 번역 없음"
"Day 71",make,"I make a mistake",,"한글 번역 없음"
"Day 71",make,"make a fuss",,"한글 번역 없음"
"Day 71",make,"make a mess",,"한글 번역 없음"
"Day 71",make,"make a mistake",,"한글 번역 없음"
"Day 71",make,"make a noise",,"한글 번역 없음"
"Day 71",make,"make a problem",,"한글 번역 없음"
"Day 71",make,"make an error",,"한글 번역 없음"
"Day 71",make,"make trouble",,"한글 번역 없음"
"Day 71",apologize,"I apologize for my mistake",,"한글 번역 없음"
"Day 71",apologize,"apologize for problem",,"한글 번역 없음"
"Day 71",apologize,"apologize for the action",,"한글 번역 없음"
"Day 71",apologize,"apologize for the delay",,"한글 번역 없음"
"Day 71",apologize,"apologize for the error",,"한글 번역 없음"
"Day 71",apologize,"apologize for the mess",,"한글 번역 없음"
"Day 71",apologize,"apologize for the mistake",,"한글 번역 없음"
"Day 71",apologize,"apologize for the wait",,"한글 번역 없음"
"Day 71",say,"I say Sorry",,"한글 번역 없음"
"Day 71",say,"say excuse me",,"한글 번역 없음"
"Day 71",say,"say hello",,"한글 번역 없음"
"Day 71",say,"say no",,"한글 번역 없음"
"Day 71",say,"say please",,"한글 번역 없음"
"Day 71",say,"say sorry",,"한글 번역 없음"
"Day 71",say,"say thank you",,"한글 번역 없음"
"Day 71",say,"say yes",,"한글 번역 없음"
"Day 72",deliver,"I deliver the message",,"한글 번역 없음"
"Day 72",deliver,"deliver the food",,"한글 번역 없음"
"Day 72",deliver,"deliver the information",,"한글 번역 없음"
"Day 72",deliver,"deliver the letter",,"한글 번역 없음"
"Day 72",deliver,"deliver the mail",,"한글 번역 없음"
"Day 72",deliver,"deliver the message",,"한글 번역 없음"
"Day 72",deliver,"deliver the package",,"한글 번역 없음"
"Day 72",deliver,"deliver the paper",,"한글 번역 없음"
"Day 72",grow,"I grow strong",,"한글 번역 없음"
"Day 72",grow,"grow big",,"한글 번역 없음"
"Day 72",grow,"grow healthy",,"한글 번역 없음"
"Day 72",grow,"grow old",,"한글 번역 없음"
"Day 72",grow,"grow poor",,"한글 번역 없음"
"Day 72",grow,"grow rich",,"한글 번역 없음"
"Day 72",grow,"grow strong",,"한글 번역 없음"
"Day 72",grow,"grow tall",,"한글 번역 없음"
"Day 72",see,"I see the change",,"한글 번역 없음"
"Day 72",see,"see the bubbles",,"한글 번역 없음"
"Day 72",see,"see the building",,"한글 번역 없음"
"Day 72",see,"see the game",,"한글 번역 없음"
"Day 72",see,"see the house",,"한글 번역 없음"
"Day 72",see,"see the movie",,"한글 번역 없음"
"Day 72",see,"see the picture",,"한글 번역 없음"
"Day 72",see,"see the sign",,"한글 번역 없음"
"Day 73",skip,"I skip the class",,"한글 번역 없음"
"Day 73",skip,"skip breakfast",,"한글 번역 없음"
"Day 73",skip,"skip dinner",,"한글 번역 없음"
"Day 73",skip,"skip lunch",,"한글 번역 없음"
"Day 73",skip,"skip the class",,"한글 번역 없음"
"Day 73",skip,"skip the meal",,"한글 번역 없음"
"Day 73",skip,"skip the meeting",,"한글 번역 없음"
"Day 73",skip,"skip the step",,"한글 번역 없음"
"Day 73",ignore,"I ignore the rule",,"한글 번역 없음"
"Day 73",ignore,"ignore the advice",,"한글 번역 없음"
"Day 73",ignore,"ignore the fact",,"한글 번역 없음"
"Day 73",ignore,"ignore the opinion",,"한글 번역 없음"
"Day 73",ignore,"ignore the problem",,"한글 번역 없음"
"Day 73",ignore,"ignore the rule",,"한글 번역 없음"
"Day 73",ignore,"ignore the situation",,"한글 번역 없음"
"Day 73",ignore,"ignore the voice",,"한글 번역 없음"
"Day 73",deserve,"I deserve the blame",,"한글 번역 없음"
"Day 73",deserve,"deserve the blame",,"한글 번역 없음"
"Day 73",deserve,"deserve the credit",,"한글 번역 없음"
"Day 73",deserve,"deserve the criticism",,"한글 번역 없음"
"Day 73",deserve,"deserve the praise",,"한글 번역 없음"
"Day 73",deserve,"deserve the respect",,"한글 번역 없음"
"Day 73",deserve,"deserve the support",,"한글 번역 없음"
"Day 73",deserve,"deserve the trust",,"한글 번역 없음"
"Day 74",wear,"I wear the gown",,"한글 번역 없음"
"Day 74",wear,"wear the belt",,"한글 번역 없음"
"Day 74",wear,"wear the bracelet",,"한글 번역 없음"
"Day 74",wear,"wear the gown",,"한글 번역 없음"
"Day 74",wear,"wear the hairband",,"한글 번역 없음"
"Day 74",wear,"wear the ring",,"한글 번역 없음"
"Day 74",wear,"wear the sweater",,"한글 번역 없음"
"Day 74",wear,"wear the watch",,"한글 번역 없음"
"Day 74",use,"I use the equipment",,"한글 번역 없음"
"Day 74",use,"use the equipment",,"한글 번역 없음"
"Day 74",use,"use the machine",,"한글 번역 없음"
"Day 74",use,"use the printer",,"한글 번역 없음"
"Day 74",use,"use the program",,"한글 번역 없음"
"Day 74",use,"use the service",,"한글 번역 없음"
"Day 74",use,"use the software",,"한글 번역 없음"
"Day 74",use,"use the system",,"한글 번역 없음"
"Day 74",look,"I look through the microscope",,"한글 번역 없음"
"Day 74",look,"look through the camera",,"한글 번역 없음"
"Day 74",look,"look through the lens",,"한글 번역 없음"
"Day 74",look,"look through the magnifier",,"한글 번역 없음"
"Day 74",look,"look through the microscope",,"한글 번역 없음"
"Day 74",look,"look through the mirror",,"한글 번역 없음"
"Day 74",look,"look through the telescope",,"한글 번역 없음"
"Day 74",look,"look through the window",,"한글 번역 없음"
"Day 75",hold,"I hold the tube",,"한글 번역 없음"
"Day 75",hold,"hold the baby",,"한글 번역 없음"
"Day 75",hold,"hold the ball",,"한글 번역 없음"
"Day 75",hold,"hold the cup",,"한글 번역 없음"
"Day 75",hold,"hold the door",,"한글 번역 없음"
"Day 75",hold,"hold the hand",,"한글 번역 없음"
"Day 75",hold,"hold the phone",,"한글 번역 없음"
"Day 75",hold,"hold the tube",,"한글 번역 없음"
"Day 75",shake,"I shake the bottle",,"한글 번역 없음"
"Day 75",shake,"shake the bottle",,"한글 번역 없음"
"Day 75",shake,"shake the box",,"한글 번역 없음"
"Day 75",shake,"shake the dust",,"한글 번역 없음"
"Day 75",shake,"shake the hands",,"한글 번역 없음"
"Day 75",shake,"shake the rug",,"한글 번역 없음"
"Day 75",shake,"shake the tree",,"한글 번역 없음"
"Day 75",shake,"shake the water",,"한글 번역 없음"
"Day 75",see,"I see the bubbles",,"한글 번역 없음"
"Day 75",see,"see the bubbles",,"한글 번역 없음"
"Day 75",see,"see the building",,"한글 번역 없음"
"Day 75",see,"see the game",,"한글 번역 없음"
"Day 75",see,"see the house",,"한글 번역 없음"
"Day 75",see,"see the movie",,"한글 번역 없음"
"Day 75",see,"see the picture",,"한글 번역 없음"
"Day 75",see,"see the sign",,"한글 번역 없음"
"Day 76",watch,"I watch closely",,"한글 번역 없음"
"Day 76",watch,"watch attentively",,"한글 번역 없음"
"Day 76",watch,"watch carefully",,"한글 번역 없음"
"Day 76",watch,"watch closely",,"한글 번역 없음"
"Day 76",watch,"watch nervously",,"한글 번역 없음"
"Day 76",watch,"watch patiently",,"한글 번역 없음"
"Day 76",watch,"watch quietly",,"한글 번역 없음"
"Day 76",watch,"watch silently",,"한글 번역 없음"
"Day 76",observe,"I observe the results",,"한글 번역 없음"
"Day 76",observe,"observe the animals",,"한글 번역 없음"
"Day 76",observe,"observe the behavior",,"한글 번역 없음"
"Day 76",observe,"observe the change",,"한글 번역 없음"
"Day 76",observe,"observe the process",,"한글 번역 없음"
"Day 76",observe,"observe the results",,"한글 번역 없음"
"Day 76",observe,"observe the sky",,"한글 번역 없음"
"Day 76",observe,"observe the stars",,"한글 번역 없음"
"Day 76",include,"I include the data",,"한글 번역 없음"
"Day 76",include,"include the cost",,"한글 번역 없음"
"Day 76",include,"include the data",,"한글 번역 없음"
"Day 76",include,"include the fee",,"한글 번역 없음"
"Day 76",include,"include the information",,"한글 번역 없음"
"Day 76",include,"include the tax",,"한글 번역 없음"
"Day 76",include,"include the tip",,"한글 번역 없음"
"Day 76",include,"include the tuition",,"한글 번역 없음"
"Day 77",keep,"I keep the records",,"한글 번역 없음"
"Day 77",keep,"keep the cash",,"한글 번역 없음"
"Day 77",keep,"keep the data",,"한글 번역 없음"
"Day 77",keep,"keep the file",,"한글 번역 없음"
"Day 77",keep,"keep the inforamtion",,"한글 번역 없음"
"Day 77",keep,"keep the money",,"한글 번역 없음"
"Day 77",keep,"keep the photo",,"한글 번역 없음"
"Day 77",keep,"keep the records",,"한글 번역 없음"
"Day 77",collect,"I collect the data",,"한글 번역 없음"
"Day 77",collect,"collect the cards",,"한글 번역 없음"
"Day 77",collect,"collect the coins",,"한글 번역 없음"
"Day 77",collect,"collect the data",,"한글 번역 없음"
"Day 77",collect,"collect the dolls",,"한글 번역 없음"
"Day 77",collect,"collect the items",,"한글 번역 없음"
"Day 77",collect,"collect the points",,"한글 번역 없음"
"Day 77",collect,"collect the stickers",,"한글 번역 없음"
"Day 77",notice,"I notice the difference",,"한글 번역 없음"
"Day 77",notice,"notice the change",,"한글 번역 없음"
"Day 77",notice,"notice the danger",,"한글 번역 없음"
"Day 77",notice,"notice the date",,"한글 번역 없음"
"Day 77",notice,"notice the difference",,"한글 번역 없음"
"Day 77",notice,"notice the mistake",,"한글 번역 없음"
"Day 77",notice,"notice the problem",,"한글 번역 없음"
"Day 77",notice,"notice the time",,"한글 번역 없음"
"Day 78",give,"I give a try",,"한글 번역 없음"
"Day 78",give,"give a call",,"한글 번역 없음"
"Day 78",give,"give a kiss",,"한글 번역 없음"
"Day 78",give,"give a reply",,"한글 번역 없음"
"Day 78",give,"give a smile",,"한글 번역 없음"
"Day 78",give,"give a speech",,"한글 번역 없음"
"Day 78",give,"give a try",,"한글 번역 없음"
"Day 78",give,"give a warning",,"한글 번역 없음"
"Day 78",verify,"I verify the data",,"한글 번역 없음"
"Day 78",verify,"verify the age",,"한글 번역 없음"
"Day 78",verify,"verify the data",,"한글 번역 없음"
"Day 78",verify,"verify the fact",,"한글 번역 없음"
"Day 78",verify,"verify the figure",,"한글 번역 없음"
"Day 78",verify,"verify the information",,"한글 번역 없음"
"Day 78",verify,"verify the record",,"한글 번역 없음"
"Day 78",verify,"verify the story",,"한글 번역 없음"
"Day 78",trust,"I trust the results",,"한글 번역 없음"
"Day 78",trust,"trust the data",,"한글 번역 없음"
"Day 78",trust,"trust the family",,"한글 번역 없음"
"Day 78",trust,"trust the process",,"한글 번역 없음"
"Day 78",trust,"trust the results",,"한글 번역 없음"
"Day 78",trust,"trust the staff",,"한글 번역 없음"
"Day 78",trust,"trust the system",,"한글 번역 없음"
"Day 78",trust,"trust the teacher",,"한글 번역 없음"
"Day 79",take,"I take a role",,"한글 번역 없음"
"Day 79",take,"take a burden",,"한글 번역 없음"
"Day 79",take,"take a position",,"한글 번역 없음"
"Day 79",take,"take a post",,"한글 번역 없음"
"Day 79",take,"take a responsibility",,"한글 번역 없음"
"Day 79",take,"take a role",,"한글 번역 없음"
"Day 79",take,"take a task",,"한글 번역 없음"
"Day 79",take,"take the blame",,"한글 번역 없음"
"Day 79",prepare,"I prepare the report",,"한글 번역 없음"
"Day 79",prepare,"prepare the exam",,"한글 번역 없음"
"Day 79",prepare,"prepare the lesson",,"한글 번역 없음"
"Day 79",prepare,"prepare the paperwork",,"한글 번역 없음"
"Day 79",prepare,"prepare the presentation",,"한글 번역 없음"
"Day 79",prepare,"prepare the quiz",,"한글 번역 없음"
"Day 79",prepare,"prepare the report",,"한글 번역 없음"
"Day 79",prepare,"prepare the test",,"한글 번역 없음"
"Day 79",train,"I train the team",,"한글 번역 없음"
"Day 79",train,"train the animal",,"한글 번역 없음"
"Day 79",train,"train the children",,"한글 번역 없음"
"Day 79",train,"train the dog",,"한글 번역 없음"
"Day 79",train,"train the horse",,"한글 번역 없음"
"Day 79",train,"train the staff",,"한글 번역 없음"
"Day 79",train,"train the student",,"한글 번역 없음"
"Day 79",train,"train the team",,"한글 번역 없음"
"Day 80",offer,"I offer the information",,"한글 번역 없음"
"Day 80",offer,"offer the advice",,"한글 번역 없음"
"Day 80",offer,"offer the chance",,"한글 번역 없음"
"Day 80",offer,"offer the discount",,"한글 번역 없음"
"Day 80",offer,"offer the idea",,"한글 번역 없음"
"Day 80",offer,"offer the information",,"한글 번역 없음"
"Day 80",offer,"offer the job",,"한글 번역 없음"
"Day 80",offer,"offer the service",,"한글 번역 없음"
"Day 80",look,"I look through the report",,"한글 번역 없음"
"Day 80",look,"look through the book",,"한글 번역 없음"
"Day 80",look,"look through the comments",,"한글 번역 없음"
"Day 80",look,"look through the data",,"한글 번역 없음"
"Day 80",look,"look through the file",,"한글 번역 없음"
"Day 80",look,"look through the paper",,"한글 번역 없음"
"Day 80",look,"look through the pictures",,"한글 번역 없음"
"Day 80",look,"look through the report",,"한글 번역 없음"
"Day 80",copy,"I copy the file",,"한글 번역 없음"
"Day 80",copy,"copy the address",,"한글 번역 없음"
"Day 80",copy,"copy the code",,"한글 번역 없음"
"Day 80",copy,"copy the contents",,"한글 번역 없음"
"Day 80",copy,"copy the data",,"한글 번역 없음"
"Day 80",copy,"copy the file",,"한글 번역 없음"
"Day 80",copy,"copy the link",,"한글 번역 없음"
"Day 80",copy,"copy the text",,"한글 번역 없음"
"Day 81",design,"I design the poster",,"한글 번역 없음"
"Day 81",design,"design the building",,"한글 번역 없음"
"Day 81",design,"design the dress",,"한글 번역 없음"
"Day 81",design,"design the garden",,"한글 번역 없음"
"Day 81",design,"design the logo",,"한글 번역 없음"
"Day 81",design,"design the mascot",,"한글 번역 없음"
"Day 81",design,"design the poster",,"한글 번역 없음"
"Day 81",design,"design the system",,"한글 번역 없음"
"Day 81",fold,"I fold the paper",,"한글 번역 없음"
"Day 81",fold,"fold the blanket",,"한글 번역 없음"
"Day 81",fold,"fold the clothes",,"한글 번역 없음"
"Day 81",fold,"fold the napkins",,"한글 번역 없음"
"Day 81",fold,"fold the page",,"한글 번역 없음"
"Day 81",fold,"fold the paper",,"한글 번역 없음"
"Day 81",fold,"fold the shirt",,"한글 번역 없음"
"Day 81",fold,"fold the towel",,"한글 번역 없음"
"Day 81",paste,"I paste the photo",,"한글 번역 없음"
"Day 81",paste,"paste the code",,"한글 번역 없음"
"Day 81",paste,"paste the data",,"한글 번역 없음"
"Day 81",paste,"paste the link",,"한글 번역 없음"
"Day 81",paste,"paste the paper",,"한글 번역 없음"
"Day 81",paste,"paste the photo",,"한글 번역 없음"
"Day 81",paste,"paste the poster",,"한글 번역 없음"
"Day 81",paste,"paste the text",,"한글 번역 없음"
"Day 82",make,"I make a picture",,"한글 번역 없음"
"Day 82",make,"make a drawing",,"한글 번역 없음"
"Day 82",make,"make a movie",,"한글 번역 없음"
"Day 82",make,"make a painting",,"한글 번역 없음"
"Day 82",make,"make a picture",,"한글 번역 없음"
"Day 82",make,"make a sculpture",,"한글 번역 없음"
"Day 82",make,"make a sketch",,"한글 번역 없음"
"Day 82",make,"make a video",,"한글 번역 없음"
"Day 82",be,"I am curious",,"한글 번역 없음"
"Day 82",be,"be curious",,"한글 번역 없음"
"Day 82",be,"be cute",,"한글 번역 없음"
"Day 82",be,"be famous 846",,"한글 번역 없음"
"Day 82",be,"be great 844",,"한글 번역 없음"
"Day 82",be,"be lovely 845",,"한글 번역 없음"
"Day 82",be,"be nice",,"한글 번역 없음"
"Day 82",be,"be popular 847",,"한글 번역 없음"
"Day 82",draw,"I draw the clouds",,"한글 번역 없음"
"Day 82",draw,"draw the bird",,"한글 번역 없음"
"Day 82",draw,"draw the clouds",,"한글 번역 없음"
"Day 82",draw,"draw the flower",,"한글 번역 없음"
"Day 82",draw,"draw the house",,"한글 번역 없음"
"Day 82",draw,"draw the moon",,"한글 번역 없음"
"Day 82",draw,"draw the star",,"한글 번역 없음"
"Day 82",draw,"draw the sun",,"한글 번역 없음"
"Day 83",love,"I love the picture",,"한글 번역 없음"
"Day 83",love,"love the dance",,"한글 번역 없음"
"Day 83",love,"love the movie",,"한글 번역 없음"
"Day 83",love,"love the picture",,"한글 번역 없음"
"Day 83",love,"love the sky",,"한글 번역 없음"
"Day 83",love,"love the song",,"한글 번역 없음"
"Day 83",love,"love the sun",,"한글 번역 없음"
"Day 83",love,"love the wind",,"한글 번역 없음"
"Day 83",test,"I test the color",,"한글 번역 없음"
"Day 83",test,"test the color",,"한글 번역 없음"
"Day 83",test,"test the level",,"한글 번역 없음"
"Day 83",test,"test the mic",,"한글 번역 없음"
"Day 83",test,"test the product",,"한글 번역 없음"
"Day 83",test,"test the skill",,"한글 번역 없음"
"Day 83",test,"test the speed",,"한글 번역 없음"
"Day 83",test,"test the system",,"한글 번역 없음"
"Day 83",paint,"I paint the flower",,"한글 번역 없음"
"Day 83",paint,"paint the flower",,"한글 번역 없음"
"Day 83",paint,"paint the landscape",,"한글 번역 없음"
"Day 83",paint,"paint the picture",,"한글 번역 없음"
"Day 83",paint,"paint the river",,"한글 번역 없음"
"Day 83",paint,"paint the sky",,"한글 번역 없음"
"Day 83",paint,"paint the sun",,"한글 번역 없음"
"Day 83",paint,"paint the tree",,"한글 번역 없음"
"Day 84",color,"I color the picture",,"한글 번역 없음"
"Day 84",color,"color the bridge",,"한글 번역 없음"
"Day 84",color,"color the drawing",,"한글 번역 없음"
"Day 84",color,"color the flower",,"한글 번역 없음"
"Day 84",color,"color the page",,"한글 번역 없음"
"Day 84",color,"color the picture",,"한글 번역 없음"
"Day 84",color,"color the star",,"한글 번역 없음"
"Day 84",color,"color the tree",,"한글 번역 없음"
"Day 84",gain,"I gain confidence",,"한글 번역 없음"
"Day 84",gain,"gain confidence",,"한글 번역 없음"
"Day 84",gain,"gain energy",,"한글 번역 없음"
"Day 84",gain,"gain experience",,"한글 번역 없음"
"Day 84",gain,"gain muscle",,"한글 번역 없음"
"Day 84",gain,"gain popularity",,"한글 번역 없음"
"Day 84",gain,"gain strength",,"한글 번역 없음"
"Day 84",gain,"gain weight",,"한글 번역 없음"
"Day 84",display,"I display the picture",,"한글 번역 없음"
"Day 84",display,"display the artworks",,"한글 번역 없음"
"Day 84",display,"display the contents",,"한글 번역 없음"
"Day 84",display,"display the history",,"한글 번역 없음"
"Day 84",display,"display the location",,"한글 번역 없음"
"Day 84",display,"display the picture",,"한글 번역 없음"
"Day 84",display,"display the temperature",,"한글 번역 없음"
"Day 84",display,"display the time",,"한글 번역 없음"
"Day 85",enjoy,"I enjoy the music",,"한글 번역 없음"
"Day 85",enjoy,"enjoy the concert",,"한글 번역 없음"
"Day 85",enjoy,"enjoy the lay",,"한글 번역 없음"
"Day 85",enjoy,"enjoy the movie",,"한글 번역 없음"
"Day 85",enjoy,"enjoy the music",,"한글 번역 없음"
"Day 85",enjoy,"enjoy the show",,"한글 번역 없음"
"Day 85",enjoy,"enjoy the stage",,"한글 번역 없음"
"Day 85",enjoy,"enjoy the video",,"한글 번역 없음"
"Day 85",take,"I take a lesson",,"한글 번역 없음"
"Day 85",take,"take a bribe",,"한글 번역 없음"
"Day 85",take,"take a call",,"한글 번역 없음"
"Day 85",take,"take a card",,"한글 번역 없음"
"Day 85",take,"take a lesson",,"한글 번역 없음"
"Day 85",take,"take a money",,"한글 번역 없음"
"Day 85",take,"take a present",,"한글 번역 없음"
"Day 85",take,"take a prize",,"한글 번역 없음"
"Day 85","come by","I come by the studio",,"한글 번역 없음"
"Day 85","come by","come by the bakery",,"한글 번역 없음"
"Day 85","come by","come by the club",,"한글 번역 없음"
"Day 85","come by","come by the house",,"한글 번역 없음"
"Day 85","come by","come by the office",,"한글 번역 없음"
"Day 85","come by","come by the store",,"한글 번역 없음"
"Day 85","come by","come by the studio",,"한글 번역 없음"
"Day 85","come by","come by the wedding",,"한글 번역 없음"
"Day 86",sing,"I sing a song",,"한글 번역 없음"
"Day 86",sing,"sing a carol",,"한글 번역 없음"
"Day 86",sing,"sing a duet",,"한글 번역 없음"
"Day 86",sing,"sing a hymn",,"한글 번역 없음"
"Day 86",sing,"sing a llullaby",,"한글 번역 없음"
"Day 86",sing,"sing a solo",,"한글 번역 없음"
"Day 86",sing,"sing a song",,"한글 번역 없음"
"Day 86",sing,"sing the national anthem",,"한글 번역 없음"
"Day 86",know,"I know the melody",,"한글 번역 없음"
"Day 86",know,"know the answer",,"한글 번역 없음"
"Day 86",know,"know the feeling",,"한글 번역 없음"
"Day 86",know,"know the melody",,"한글 번역 없음"
"Day 86",know,"know the point",,"한글 번역 없음"
"Day 86",know,"know the reason",,"한글 번역 없음"
"Day 86",know,"know the title",,"한글 번역 없음"
"Day 86",know,"know the word",,"한글 번역 없음"
"Day 86",memorize,"I memorize the lyrics",,"한글 번역 없음"
"Day 86",memorize,"memorize the dance",,"한글 번역 없음"
"Day 86",memorize,"memorize the lines",,"한글 번역 없음"
"Day 86",memorize,"memorize the lyrics",,"한글 번역 없음"
"Day 86",memorize,"memorize the melody",,"한글 번역 없음"
"Day 86",memorize,"memorize the order",,"한글 번역 없음"
"Day 86",memorize,"memorize the script",,"한글 번역 없음"
"Day 86",memorize,"memorize the song",,"한글 번역 없음"
"Day 87",play,"I play the piano",,"한글 번역 없음"
"Day 87",play,"play the cello",,"한글 번역 없음"
"Day 87",play,"play the drum",,"한글 번역 없음"
"Day 87",play,"play the flute",,"한글 번역 없음"
"Day 87",play,"play the guitar",,"한글 번역 없음"
"Day 87",play,"play the harp",,"한글 번역 없음"
"Day 87",play,"play the piano",,"한글 번역 없음"
"Day 87",play,"play the violin",,"한글 번역 없음"
"Day 87",blow,"I blow the whistle",,"한글 번역 없음"
"Day 87",blow,"blow the air",,"한글 번역 없음"
"Day 87",blow,"blow the balloon",,"한글 번역 없음"
"Day 87",blow,"blow the bubble gum",,"한글 번역 없음"
"Day 87",blow,"blow the candle",,"한글 번역 없음"
"Day 87",blow,"blow the flute",,"한글 번역 없음"
"Day 87",blow,"blow the horn",,"한글 번역 없음"
"Day 87",blow,"blow the whistle",,"한글 번역 없음"
"Day 87",get,"I get excited",,"한글 번역 없음"
"Day 87",get,"get bored",,"한글 번역 없음"
"Day 87",get,"get confused",,"한글 번역 없음"
"Day 87",get,"get disappointed",,"한글 번역 없음"
"Day 87",get,"get excited",,"한글 번역 없음"
"Day 87",get,"get interested",,"한글 번역 없음"
"Day 87",get,"get surprised",,"한글 번역 없음"
"Day 87",get,"get worried",,"한글 번역 없음"
"Day 88",play,"I play soccer",,"한글 번역 없음"
"Day 88",play,"play baseball",,"한글 번역 없음"
"Day 88",play,"play basketball",,"한글 번역 없음"
"Day 88",play,"play chess",,"한글 번역 없음"
"Day 88",play,"play football",,"한글 번역 없음"
"Day 88",play,"play golf",,"한글 번역 없음"
"Day 88",play,"play soccer",,"한글 번역 없음"
"Day 88",play,"play tennis",,"한글 번역 없음"
"Day 88",belong,"I belong to the club",,"한글 번역 없음"
"Day 88",belong,"belong to the class",,"한글 번역 없음"
"Day 88",belong,"belong to the club",,"한글 번역 없음"
"Day 88",belong,"belong to the community",,"한글 번역 없음"
"Day 88",belong,"belong to the company",,"한글 번역 없음"
"Day 88",belong,"belong to the group",,"한글 번역 없음"
"Day 88",belong,"belong to the school",,"한글 번역 없음"
"Day 88",belong,"belong to the team",,"한글 번역 없음"
"Day 88",kick,"I kick the ball",,"한글 번역 없음"
"Day 88",kick,"kick the ball",,"한글 번역 없음"
"Day 88",kick,"kick the blanket",,"한글 번역 없음"
"Day 88",kick,"kick the can",,"한글 번역 없음"
"Day 88",kick,"kick the chair",,"한글 번역 없음"
"Day 88",kick,"kick the door",,"한글 번역 없음"
"Day 88",kick,"kick the sheets",,"한글 번역 없음"
"Day 88",kick,"kick the wall",,"한글 번역 없음"
"Day 89",pass,"I pass the ball",,"한글 번역 없음"
"Day 89",pass,"pass the ball",,"한글 번역 없음"
"Day 89",pass,"pass the mic",,"한글 번역 없음"
"Day 89",pass,"pass the paper",,"한글 번역 없음"
"Day 89",pass,"pass the pepper",,"한글 번역 없음"
"Day 89",pass,"pass the salt",,"한글 번역 없음"
"Day 89",pass,"pass the sauce",,"한글 번역 없음"
"Day 89",pass,"pass the sugar",,"한글 번역 없음"
"Day 89",learn,"I learn the skill",,"한글 번역 없음"
"Day 89",learn,"learn the dance",,"한글 번역 없음"
"Day 89",learn,"learn the game",,"한글 번역 없음"
"Day 89",learn,"learn the language",,"한글 번역 없음"
"Day 89",learn,"learn the rule",,"한글 번역 없음"
"Day 89",learn,"learn the skill",,"한글 번역 없음"
"Day 89",learn,"learn the song",,"한글 번역 없음"
"Day 89",learn,"learn the word",,"한글 번역 없음"
"Day 89",chase,"I chase the ball",,"한글 번역 없음"
"Day 89",chase,"chase fame",,"한글 번역 없음"
"Day 89",chase,"chase happiness",,"한글 번역 없음"
"Day 89",chase,"chase love",,"한글 번역 없음"
"Day 89",chase,"chase money",,"한글 번역 없음"
"Day 89",chase,"chase success",,"한글 번역 없음"
"Day 89",chase,"chase the ball",,"한글 번역 없음"
"Day 89",chase,"chase the dog",,"한글 번역 없음"
"Day 90",shoot,"I shoot the ball",,"한글 번역 없음"
"Day 90",shoot,"shoot the arrow",,"한글 번역 없음"
"Day 90",shoot,"shoot the ball",,"한글 번역 없음"
"Day 90",shoot,"shoot the gun",,"한글 번역 없음"
"Day 90",shoot,"shoot the movie",,"한글 번역 없음"
